"관리번호","자치구","와이파이명","도로명주소","상세주소","설치위치(층)","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","wifi접속환경","Y좌표","X좌표","작업일자"
"24서울-0001","중구","서울시청 서소문제1청사","덕수궁길 15","1동 13층 정동전망대 카페","1동 13층","4. 문화관광","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.564327","126.97565","2025-12-22 15:12:01.0"
"24서울-0002","중구","서울시청 서소문제1청사","덕수궁길 15","1동 13층 정동전망대 카페","1동 13층","4. 문화관광","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.564327","126.97565","2025-12-22 15:12:01.0"
"24서울-0003","성동구","성동구청 송정동 공공복합청사","송정18가길 9","5층 TPS 옆 천장","","7-2-2. 공공 - 구의회 및 보건소","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.554222","127.06895","2025-12-22 15:12:01.0"
"24서울-0004","성동구","성동구청 송정동 공공복합청사","송정18가길 9","5층 도서실 입구 천장","","7-2-2. 공공 - 구의회 및 보건소","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.554222","127.06895","2025-12-22 15:12:01.0"
"24서울-0005","강동구","강동리본센터","강동구 양재대로81길 73","3층 정수기 위","","6-6. 복지 - 기타","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.523857","127.13023","2025-12-22 15:12:01.0"
"24서울-0006","강동구","강동리본센터","강동구 양재대로81길 73","3층 이론교육장 복도 천장","","6-6. 복지 - 기타","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.523857","127.13023","2025-12-22 15:12:01.0"
"24서울-0007","용산구","용산 청소년복합문화공간","용산구 한남동 90-4 B1층","B1층 멀티공간","","6-4. 복지 - 아동청소년","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.531967","127.00727","2025-12-22 15:12:01.0"
"24서울-0008","용산구","용산 청소년복합문화공간","용산구 한남동 90-4 B1층","B1층 스터디카페","","6-4. 복지 - 아동청소년","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.531967","127.00727","2025-12-22 15:12:01.0"
"24서울-0009","동대문구","동대문구 보건소","서울특별시 동대문구 천호대로 145(용두동)","모자보건실 예방접종실 사무실","2","7-2-2. 공공 - 구의회 및 보건소","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.574223","127.03991","2025-12-22 15:12:01.0"
"24서울-0010","동대문구","동대문구 보건소","서울특별시 동대문구 천호대로 145(용두동)","임상병리실 사무실","2","7-2-2. 공공 - 구의회 및 보건소","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","","37.574223","127.03991","2025-12-22 15:12:01.0"
"ARI00001","서대문구","서울아리수본부","서소문로 51","본관 1F 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00003","서대문구","서울아리수본부","서소문로 51","본관 2F 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00004","서대문구","서울아리수본부","서소문로 51","본관 2F 본부장실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00005","서대문구","서울아리수본부","서소문로 51","본관 2F 부본부장실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00006","서대문구","서울아리수본부","서소문로 51","본관1F 식당","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00008","서대문구","서울아리수본부","서소문로 51","본관 2F 경영혁신과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00009","서대문구","서울아리수본부","서소문로 51","본관 2F 소회의실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00010","서대문구","서울아리수본부","서소문로 51","본관 3F 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00011","서대문구","서울아리수본부","서소문로 51","본관 3F 생산부","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00012","서대문구","서울아리수본부","서소문로 51","본관 3F 총무부","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00013","서대문구","서울아리수본부","서소문로 51","본관 3F 요금관리부-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00014","서대문구","서울아리수본부","서소문로 51","본관 3F 요금관리부-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00015","서대문구","서울아리수본부","서소문로 51","본관 4F 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00016","서대문구","서울아리수본부","서소문로 51","본관 4F 급수부","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00018","서대문구","서울아리수본부","서소문로 51","본관 4F 회의실","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00019","서대문구","서울아리수본부","서소문로 51","본관 4F 시설안전부-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00020","서대문구","서울아리수본부","서소문로 51","본관 4F 시설안전부-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00021","서대문구","서울아리수본부","서소문로 51","본관 5F 복도","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00022","서대문구","서울아리수본부","서소문로 51","본관 5F 물파랑새 북카페","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00023","서대문구","서울아리수본부","서소문로 51","본관 5F 인력운영과","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00024","서대문구","서울아리수본부","서소문로 51","본관 5F 강당-1","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
"ARI00025","서대문구","서울아리수본부","서소문로 51","본관 5F 강당-2","","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망_수도사업소망","2024","실내","","37.561924","126.96675","2025-12-22 15:12:01.0"
